PUNTO;ESTADO;REGION;BOTELLONES;VENTA;FECHA
JARDIN;Activo;MAGDALENA;153,5;414450;2020-05-07 09:49:37.127
CRUZ;Activo;BOLIVAR;92,5;333000;2020-05-07 10:10:47.367
TURBACO;Activo;BOLIVAR;59,5;214200;2020-05-07 00:00:00.000
PLAN PAREJO;Inactivo;BOLIVAR;74,5;268200;2020-05-07 10:45:59.097
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;69;276000;2020-05-07 10:49:00.110
GRANJA;Activo;BOLIVAR;281,5;1013400;2020-05-07 11:24:09.257
3K;Activo;ATLANTICO;93;334800;2020-05-07 12:44:10.780
ALTOS PLAN PAREJO;Activo;BOLIVAR;134,5;484200;2020-05-07 12:48:00.800
CURINCA;Inactivo;MAGDALENA;34,25;92475;2020-05-07 12:59:55.327
DON LEON;Activo;ATLANTICO;77,25;278100;2020-05-07 13:04:38.580
DON ROBERTO;Activo;ATLANTICO;134,5;484200;2020-05-07 13:23:31.277
CIUDAD DEL SOL;Inactivo;MAGDALENA;17;45900;2020-05-07 13:29:39.287
PORVENIR;Activo;ATLANTICO;33;118800;2020-05-07 14:00:31.217
MIRA CAMPESTRE;Inactivo;MAGDALENA;12;32400;2020-05-07 14:04:24.360
PARAISO;Inactivo;ATLANTICO;8,75;31500;2020-05-07 14:10:15.733
EL REY;Activo;ATLANTICO;95,5;343800;2020-05-07 14:17:27.987
MARIA;Inactivo;ATLANTICO;17,75;63900;2020-05-07 14:25:41.767
RODADERO 2;Inactivo;MAGDALENA;54;145800;2020-05-07 14:35:25.137
OLAYA;Inactivo;MAGDALENA;11;29700;2020-05-07 15:07:03.040
PUERTO COLOMBIA;Activo;ATLANTICO;529,6;1906560;2020-05-07 15:07:44.053
GAIRA;Inactivo;MAGDALENA;35,25;95175;2020-05-07 15:21:04.157
MANZANARES;Activo;MAGDALENA;15;40500;2020-05-07 16:44:02.233
CALLE 30;Inactivo;MAGDALENA;0;0;2020-05-07 17:09:16.540
PANDO;Inactivo;MAGDALENA;10;27000;2020-05-07 17:20:42.050
CIUDADELA;Activo;MAGDALENA;29,25;78975;2020-05-07 18:14:49.313
UNIMAGDALENA;Activo;MAGDALENA;31,5;85050;2020-05-07 18:24:04.420
GALICIA;Activo;MAGDALENA;159,75;431325;2020-05-07 08:05:58.443
CASTELLANA;Inactivo;BOLIVAR;10;36000;2020-05-08 06:11:44.887
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;69;276000;2020-05-08 06:50:45.443
CRUZ;Activo;BOLIVAR;77,75;279900;2020-05-08 09:07:26.743
ALTOS PLAN PAREJO;Activo;BOLIVAR;46;165600;2020-05-08 09:18:46.777
TURBACO;Activo;BOLIVAR;26;93600;2020-05-08 09:32:02.910
ARJONA;Activo;BOLIVAR;37,75;135900;2020-05-08 09:58:11.250
GRANJA;Activo;BOLIVAR;110,25;396900;2020-05-08 10:34:16.753
CASTELLANA;Inactivo;BOLIVAR;14,25;51300;2020-05-10 06:09:33.007
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;33;132000;2020-05-10 07:01:22.447
ALCAZARES;Inactivo;MAGDALENA;71,75;193725;2020-05-10 08:29:28.520
GRANJA;Activo;BOLIVAR;134,25;483300;2020-05-10 08:46:28.880
ARJONA;Activo;BOLIVAR;35,75;128700;2020-05-10 09:12:59.823
PLAN PAREJO;Inactivo;BOLIVAR;72,25;260100;2020-05-10 09:49:38.623
BAVARIA;Inactivo;MAGDALENA;18,5;49950;2020-05-10 09:57:02.253
FERROCARRIL;Activo;MAGDALENA;74,75;201825;2020-05-10 10:34:54.090
OLAYA;Inactivo;MAGDALENA;15,5;41850;2020-05-10 10:55:08.380
PESCAITO;Inactivo;MAGDALENA;63,25;170775;2020-05-10 11:04:39.920
JARDIN;Activo;MAGDALENA;203,25;548775;2020-05-10 11:28:33.840
GALICIA;Activo;MAGDALENA;117,5;317250;2020-05-10 11:52:33.913
EDS EL RIO;Activo;MAGDALENA;113,5;306450;2020-05-10 12:05:07.147
ALTOS PLAN PAREJO;Activo;BOLIVAR;171,25;616500;2020-05-10 12:59:39.933
CRUZ;Activo;BOLIVAR;195;702000;2020-05-10 13:23:44.780
DELICIAS;Inactivo;MAGDALENA;113;305100;2020-05-10 15:25:51.347
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;81,5;326000;2020-05-11 06:49:09.697
YUCAL;Activo;MAGDALENA;92;248400;2020-05-11 07:12:59.677
MIRA CAMPESTRE;Inactivo;MAGDALENA;76,75;207225;2020-05-11 07:33:00.423
CIUDAD DEL SOL;Inactivo;MAGDALENA;57,5;155250;2020-05-11 07:59:08.760
BOKOBA;Inactivo;ATLANTICO;95,25;342900;2020-05-11 08:14:27.307
CURINCA;Inactivo;MAGDALENA;82,5;222750;2020-05-11 08:19:53.110
UNIMAGDALENA;Activo;MAGDALENA;60,25;162675;2020-05-11 08:52:58.697
MARIA AUXILIADORA;Activo;ATLANTICO;27,25;98100;2020-05-11 09:05:15.210
MANZANARES;Activo;MAGDALENA;69;186300;2020-05-11 09:46:43.760
RODADERO 2;Inactivo;MAGDALENA;109,75;296325;2020-05-11 10:26:10.503
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;54;216000;2020-05-11 12:00:24.797
CALLE 30;Inactivo;MAGDALENA;0;0;2020-05-11 12:33:01.983
PANDO;Inactivo;MAGDALENA;11,75;31725;2020-05-11 13:01:02.633
3K;Activo;ATLANTICO;147,25;530100;2020-05-11 13:05:08.260
DON LEON;Activo;ATLANTICO;57,5;207000;2020-05-11 13:33:28.417
GAIRA;Inactivo;MAGDALENA;112,5;303750;2020-05-11 13:36:09.170
DON ROBERTO;Activo;ATLANTICO;136;489600;2020-05-11 13:52:32.453
PORVENIR;Activo;ATLANTICO;60,25;216900;2020-05-11 14:20:14.913
EL REY;Activo;ATLANTICO;83;298800;2020-05-11 14:43:52.573
MARIA;Inactivo;ATLANTICO;20;72000;2020-05-11 14:57:55.097
PUERTO COLOMBIA;Activo;ATLANTICO;432,8;1558080;2020-05-11 15:39:30.257
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;62;248000;2020-05-12 06:49:12.513
FERROCARRIL;Activo;MAGDALENA;58;156600;2020-05-12 08:09:41.853
BAVARIA;Inactivo;MAGDALENA;43,75;118125;2020-05-12 08:23:45.930
ALCAZARES;Inactivo;MAGDALENA;60,25;162675;2020-05-12 08:32:16.813
JARDIN;Activo;MAGDALENA;129,25;348975;2020-05-12 08:52:13.723
GALICIA;Activo;MAGDALENA;169;456300;2020-05-12 09:22:08.670
EDS EL RIO;Activo;MAGDALENA;58,75;158625;2020-05-12 09:31:56.687
GRANJA;Activo;BOLIVAR;288;1036800;2020-05-12 10:02:20.230
TURBACO;Activo;BOLIVAR;118,25;425700;2020-05-12 10:26:54.070
DELICIAS;Inactivo;MAGDALENA;51,25;138375;2020-05-12 10:39:16.657
CRUZ;Activo;BOLIVAR;191,5;689400;2020-05-12 10:46:22.280
ALTOS PLAN PAREJO;Activo;BOLIVAR;135;486000;2020-05-12 11:58:57.870
PLAN PAREJO;Inactivo;BOLIVAR;61,25;220500;2020-05-12 12:03:51.653
OLAYA;Inactivo;MAGDALENA;14,25;38475;2020-05-12 12:12:38.430
PESCAITO;Inactivo;MAGDALENA;57,25;154575;2020-05-12 12:38:55.270
ARJONA;Activo;BOLIVAR;88;316800;2020-05-12 14:06:04.597
CASTELLANA;Inactivo;BOLIVAR;22,25;80100;2020-05-13 06:13:29.463
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;57;228000;2020-05-13 07:12:03.310
YUCAL;Activo;MAGDALENA;41,25;111375;2020-05-13 08:55:57.907
CIUDADELA;Activo;MAGDALENA;102,25;276075;2020-05-13 09:06:00.883
CALLE 30;Inactivo;MAGDALENA;0;0;2020-05-13 12:22:35.673
MANZANARES;Activo;MAGDALENA;44,25;119475;2020-05-13 12:35:27.640
RODADERO 2;Inactivo;MAGDALENA;92,5;249750;2020-05-13 12:51:25.257
GAIRA;Inactivo;MAGDALENA;53,75;145125;2020-05-13 13:23:39.927
PANDO;Inactivo;MAGDALENA;11;29700;2020-05-13 14:54:08.013
CURINCA;Inactivo;MAGDALENA;63;170100;2020-05-13 15:10:37.697
UNIMAGDALENA;Activo;MAGDALENA;51,5;139050;2020-05-13 17:14:20.293
CIUDAD DEL SOL;Inactivo;MAGDALENA;50,5;136350;2020-05-13 17:27:09.263
MIRA CAMPESTRE;Inactivo;MAGDALENA;62,75;169425;2020-05-13 17:33:45.280
YUCAL;Activo;MAGDALENA;27;72900;2020-05-14 05:41:37.257
CURINCA;Inactivo;MAGDALENA;8;21600;2020-05-14 06:04:06.990
GAIRA;Inactivo;MAGDALENA;11,25;30375;2020-05-14 06:45:46.733
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;64,5;258000;2020-05-14 07:28:08.857
EDS EL RIO;Activo;MAGDALENA;84,5;228150;2020-05-14 07:37:04.963
BOKOBA;Inactivo;ATLANTICO;66,25;238500;2020-05-14 08:03:00.553
GALICIA;Activo;MAGDALENA;135,75;366525;2020-05-14 08:10:44.760
JARDIN;Activo;MAGDALENA;123,5;333450;2020-05-14 08:25:00.510
MIRA CAMPESTRE;Inactivo;MAGDALENA;12;32400;2020-05-14 08:31:38.427
ALCAZARES;Inactivo;MAGDALENA;79;213300;2020-05-14 08:35:07.103
MARIA AUXILIADORA;Activo;ATLANTICO;29,5;106200;2020-05-14 08:36:15.030
GRANJA;Activo;BOLIVAR;175,75;632700;2020-05-14 08:41:04.910
BAVARIA;Inactivo;MAGDALENA;36,25;97875;2020-05-14 08:45:06.187
FERROCARRIL;Activo;MAGDALENA;61,5;166050;2020-05-14 08:56:50.100
CALLE 30;Inactivo;MAGDALENA;0;0;2020-05-14 09:09:42.907
OLAYA;Inactivo;MAGDALENA;9,25;24975;2020-05-14 09:14:44.697
CRUZ;Activo;BOLIVAR;131,5;473400;2020-05-14 09:16:54.947
PESCAITO;Inactivo;MAGDALENA;34,75;93825;2020-05-14 09:21:44.920
MANZANARES;Activo;MAGDALENA;5,5;14850;2020-05-14 09:34:07.093
TURBACO;Activo;BOLIVAR;66,75;240300;2020-05-14 09:45:06.583
DELICIAS;Inactivo;MAGDALENA;50,5;136350;2020-05-14 09:50:11.327
RODADERO 2;Inactivo;MAGDALENA;27,5;74250;2020-05-14 09:53:27.407
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;93;372000;2020-05-14 10:35:13.040
3K;Activo;ATLANTICO;131,25;472500;2020-05-14 10:59:23.617
DON LEON;Activo;ATLANTICO;82,25;296100;2020-05-14 11:21:57.387
ARJONA;Activo;BOLIVAR;62,25;224100;2020-05-14 11:35:18.957
PORVENIR;Activo;ATLANTICO;37,5;135000;2020-05-14 11:43:37.867
CIUDAD DEL SOL;Inactivo;MAGDALENA;9;24300;2020-05-14 11:53:06.570
DON ROBERTO;Activo;ATLANTICO;99,25;357300;2020-05-14 12:00:30.587
UNIMAGDALENA;Activo;MAGDALENA;14;37800;2020-05-14 12:10:41.303
PARAISO;Inactivo;ATLANTICO;17,75;63900;2020-05-14 12:22:49.793
EL REY;Activo;ATLANTICO;95,75;344700;2020-05-14 12:30:59.757
MARIA;Inactivo;ATLANTICO;16,25;58500;2020-05-14 12:41:59.663
ALTOS PLAN PAREJO;Activo;BOLIVAR;124,5;448200;2020-05-14 12:47:56.447
PUERTO COLOMBIA;Activo;ATLANTICO;328,2;1181520;2020-05-14 13:20:42.560
PLAN PAREJO;Inactivo;BOLIVAR;57;205200;2020-05-14 14:37:05.840
CASTELLANA;Inactivo;BOLIVAR;74,5;268200;2020-05-15 06:14:28.233
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;91;364000;2020-05-15 06:58:55.017
ALTOS PLAN PAREJO;Activo;BOLIVAR;61,5;221400;2020-05-15 08:29:29.223
PLAN PAREJO;Inactivo;BOLIVAR;26,25;94500;2020-05-15 08:42:49.110
TURBACO;Activo;BOLIVAR;25,5;91800;2020-05-15 08:53:13.137
ARJONA;Activo;BOLIVAR;16,5;59400;2020-05-15 09:16:42.073
CRUZ;Activo;BOLIVAR;109,75;395100;2020-05-15 10:16:49.237
GRANJA;Activo;BOLIVAR;137,25;494100;2020-05-15 10:55:57.290
CASTELLANA;Inactivo;BOLIVAR;18;64800;2020-05-17 06:09:58.673
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;34,25;137000;2020-05-17 06:54:42.090
GRANJA;Activo;BOLIVAR;147,25;530100;2020-05-17 09:17:40.357
ALTOS PLAN PAREJO;Activo;BOLIVAR;145,5;523800;2020-05-17 09:33:32.603
CIUDADELA;Activo;MAGDALENA;83,5;225450;2020-05-17 09:49:34.763
TURBACO;Activo;BOLIVAR;52,75;189900;2020-05-17 09:59:49.087
CRUZ;Activo;BOLIVAR;149,75;539100;2020-05-17 10:05:16.883
PLAN PAREJO;Inactivo;BOLIVAR;47,75;171900;2020-05-17 10:29:13.507
CALLE 30;Inactivo;MAGDALENA;170;459000;2020-05-17 10:56:27.817
MANZANARES;Activo;MAGDALENA;62,75;169425;2020-05-17 11:10:45.817
ARJONA;Activo;BOLIVAR;59,75;215100;2020-05-17 12:24:02.853
RODADERO 2;Inactivo;MAGDALENA;88,5;238950;2020-05-17 12:47:23.160
GAIRA;Inactivo;MAGDALENA;99;267300;2020-05-17 13:20:39.843
PANDO;Inactivo;MAGDALENA;12,5;33750;2020-05-17 15:02:13.943
MIRA CAMPESTRE;Inactivo;MAGDALENA;79,75;215325;2020-05-17 17:15:19.953
CURINCA;Inactivo;MAGDALENA;76,75;207225;2020-05-17 06:04:06.990
UNIMAGDALENA;Activo;MAGDALENA;63;170100;2020-05-17 12:10:41.303
YUCAL;Activo;MAGDALENA;110,5;298350;2020-05-17 05:41:37.257
CIUDADELA;Activo;MAGDALENA;16,75;45225;2020-05-18 07:52:54.887
MARIA AUXILIADORA;Activo;ATLANTICO;46,75;168300;2020-05-18 07:56:04.437
FERROCARRIL;Activo;MAGDALENA;108,25;292275;2020-05-18 08:12:54.337
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;89;356000;2020-05-18 08:36:34.660
ALTOS PLAN PAREJO;Activo;BOLIVAR;64,25;231300;2020-05-18 08:43:34.250
PLAN PAREJO;Inactivo;BOLIVAR;25;90000;2020-05-18 08:51:27.247
BAVARIA;Inactivo;MAGDALENA;66,5;179550;2020-05-18 08:52:06.417
CRUZ;Activo;BOLIVAR;82;295200;2020-05-18 09:02:13.877
TURBACO;Activo;BOLIVAR;29,25;105300;2020-05-18 09:10:10.353
GALICIA;Activo;MAGDALENA;237;639900;2020-05-18 09:24:01.840
ARJONA;Activo;BOLIVAR;30,5;109800;2020-05-18 09:33:31.853
EDS EL RIO;Activo;MAGDALENA;155;418500;2020-05-18 09:34:35.310
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;65;260000;2020-05-18 09:48:49.027
ALCAZARES;Inactivo;MAGDALENA;145,5;392850;2020-05-18 09:54:03.970
PESCAITO;Inactivo;MAGDALENA;91,25;246375;2020-05-18 10:12:18.747
BOKOBA;Inactivo;ATLANTICO;107,75;387900;2020-05-18 10:29:24.013
DELICIAS;Inactivo;MAGDALENA;116,75;315225;2020-05-18 10:34:16.253
OLAYA;Inactivo;MAGDALENA;20,25;54675;2020-05-18 10:50:51.703
PUERTO COLOMBIA;Activo;ATLANTICO;403,4;1452240;2020-05-18 11:33:00.357
GRANJA;Activo;BOLIVAR;145,25;522900;2020-05-18 12:04:24.520
EL REY;Activo;ATLANTICO;97,5;351000;2020-05-18 12:49:36.220
PARAISO;Inactivo;ATLANTICO;40,75;146700;2020-05-18 13:01:47.370
PORVENIR;Activo;ATLANTICO;70,5;253800;2020-05-18 13:27:29.190
DON ROBERTO;Activo;ATLANTICO;167,5;603000;2020-05-18 13:36:12.410
JARDIN;Activo;MAGDALENA;269,5;727650;2020-05-18 13:49:06.897
DON LEON;Activo;ATLANTICO;103;370800;2020-05-18 13:54:10.537
3K;Activo;ATLANTICO;170;612000;2020-05-18 14:09:09.123
CASTELLANA;Inactivo;BOLIVAR;23;82800;2020-05-18 15:56:58.963
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;105;420000;2020-05-19 06:57:57.117
UNIMAGDALENA;Activo;MAGDALENA;28,5;76950;2020-05-19 07:24:25.600
GALICIA;Activo;MAGDALENA;70,75;191025;2020-05-19 07:42:04.257
CURINCA;Inactivo;MAGDALENA;27,5;74250;2020-05-19 07:42:38.437
EDS EL RIO;Activo;MAGDALENA;48,5;130950;2020-05-19 07:56:27.500
CIUDAD DEL SOL;Inactivo;MAGDALENA;83,25;224775;2020-05-19 08:08:07.880
JARDIN;Activo;MAGDALENA;22;59400;2020-05-19 08:16:12.377
MIRA CAMPESTRE;Inactivo;MAGDALENA;33;89100;2020-05-19 08:26:37.723
YUCAL;Activo;MAGDALENA;7,5;20250;2020-05-19 08:43:02.433
ALMENDROS;Inactivo;MAGDALENA;0;0;2020-05-19 08:49:09.847
BOKOBA;Inactivo;ATLANTICO;12;43200;2020-05-19 08:50:05.963
PESCAITO;Inactivo;MAGDALENA;24,25;65475;2020-05-19 09:08:32.837
OLAYA;Inactivo;MAGDALENA;8,75;23625;2020-05-19 09:19:47.427
RODADERO 2;Inactivo;MAGDALENA;67;180900;2020-05-19 09:36:28.027
FERROCARRIL;Activo;MAGDALENA;38,75;104625;2020-05-19 09:38:47.263
ALTOS PLAN PAREJO;Activo;BOLIVAR;59,5;214200;2020-05-19 09:43:26.520
GAIRA;Inactivo;MAGDALENA;48;129600;2020-05-19 09:44:49.187
PLAN PAREJO;Inactivo;BOLIVAR;20,5;73800;2020-05-19 09:53:18.880
TURBACO;Activo;BOLIVAR;30,75;110700;2020-05-19 10:12:20.280
CRUZ;Activo;BOLIVAR;85,5;307800;2020-05-19 10:19:32.463
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;27;108000;2020-05-19 10:40:10.860
GRANJA;Activo;BOLIVAR;84,75;305100;2020-05-19 11:20:51.203
ALCAZARES;Inactivo;MAGDALENA;40,25;108675;2020-05-19 11:47:36.827
ARJONA;Activo;BOLIVAR;34;122400;2020-05-19 12:02:35.833
DON LEON;Activo;ATLANTICO;28,25;101700;2020-05-19 12:07:00.983
DELICIAS;Inactivo;MAGDALENA;42,5;114750;2020-05-19 12:07:40.450
MANZANARES;Activo;MAGDALENA;43,25;116775;2020-05-19 12:25:24.460
CALLE 30;Inactivo;MAGDALENA;0;0;2020-05-19 12:54:56.410
3K;Activo;ATLANTICO;42,25;152100;2020-05-19 13:02:37.407
CIUDADELA;Activo;MAGDALENA;29,25;78975;2020-05-19 13:14:40.160
PANDO;Inactivo;MAGDALENA;11;29700;2020-05-19 13:33:12.563
CASTELLANA;Inactivo;BOLIVAR;4;14400;2020-05-19 15:58:15.480
BAVARIA;Inactivo;MAGDALENA;39,5;106650;2020-05-19 17:11:46.737
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;78,25;313000;2020-05-20 06:40:20.187
GAIRA;Inactivo;MAGDALENA;20,25;54675;2020-05-20 07:10:17.530
GALICIA;Activo;MAGDALENA;40;108000;2020-05-20 07:11:03.577
EDS EL RIO;Activo;MAGDALENA;42;113400;2020-05-20 07:35:17.990
JARDIN;Activo;MAGDALENA;77;207900;2020-05-20 07:56:44.577
BOKOBA;Inactivo;ATLANTICO;21,25;76500;2020-05-20 07:57:08.827
MARIA AUXILIADORA;Activo;ATLANTICO;17,5;63000;2020-05-20 08:29:50.360
RODADERO 2;Inactivo;MAGDALENA;35,5;95850;2020-05-20 08:36:26.043
ALTOS PLAN PAREJO;Activo;BOLIVAR;60,75;218700;2020-05-20 08:50:24.233
ALCAZARES;Inactivo;MAGDALENA;24,25;65475;2020-05-20 08:51:09.173
PLAN PAREJO;Inactivo;BOLIVAR;31;111600;2020-05-20 09:00:43.173
CASTELLANA;Inactivo;BOLIVAR;1,5;5400;2020-05-20 09:06:33.017
BAVARIA;Inactivo;MAGDALENA;9;24300;2020-05-20 09:08:58.827
CRUZ;Activo;BOLIVAR;75,25;270900;2020-05-20 09:11:18.440
FERROCARRIL;Activo;MAGDALENA;31,25;84375;2020-05-20 09:26:18.037
DELICIAS;Inactivo;MAGDALENA;28;75600;2020-05-20 09:44:52.957
GRANJA;Activo;BOLIVAR;93,5;336600;2020-05-20 10:03:43.630
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;17;68000;2020-05-20 10:04:30.273
ALMENDROS;Inactivo;MAGDALENA;0;0;2020-05-20 10:14:12.077
ARJONA;Activo;BOLIVAR;18,75;67500;2020-05-20 10:33:43.807
MIRA CAMPESTRE;Inactivo;MAGDALENA;17,5;47250;2020-05-20 10:41:04.657
3K;Activo;ATLANTICO;33;118800;2020-05-20 10:44:51.760
CIUDAD DEL SOL;Inactivo;MAGDALENA;26,5;71550;2020-05-20 11:03:59.043
UNIMAGDALENA;Activo;MAGDALENA;30,25;81675;2020-05-20 11:21:03.237
PARAISO;Inactivo;ATLANTICO;18;64800;2020-05-20 11:23:33.003
PESCAITO;Inactivo;MAGDALENA;30;81000;2020-05-20 11:27:34.900
TURBACO;Activo;BOLIVAR;28;100800;2020-05-20 11:38:57.673
CIUDADELA;Activo;MAGDALENA;16,75;45225;2020-05-20 11:39:32.557
EL REY;Activo;ATLANTICO;53;190800;2020-05-20 11:40:02.243
CURINCA;Inactivo;MAGDALENA;21,25;57375;2020-05-20 12:08:08.617
PUERTO COLOMBIA;Activo;ATLANTICO;213,4;768240;2020-05-20 12:27:24.050
PANDO;Inactivo;MAGDALENA;10;27000;2020-05-20 12:32:05.760
DON ROBERTO;Activo;ATLANTICO;97;349200;2020-05-20 13:19:31.183
MANZANARES;Activo;MAGDALENA;15,25;41175;2020-05-20 13:24:16.263
PORVENIR;Activo;ATLANTICO;25,75;92700;2020-05-20 13:50:03.007
DON LEON;Activo;ATLANTICO;39;140400;2020-05-20 14:08:49.790
OLAYA;Inactivo;MAGDALENA;14,5;39150;2020-05-20 14:43:17.080
YUCAL;Activo;MAGDALENA;46,25;124875;2020-05-20 19:44:48.340
CASTELLANA;Inactivo;BOLIVAR;17,5;63000;2020-05-21 06:08:25.270
CALLE 30;Inactivo;MAGDALENA;0;0;2020-05-21 07:27:13.433
GALICIA;Activo;MAGDALENA;45,25;122175;2020-05-21 07:59:07.130
PESCAITO;Inactivo;MAGDALENA;21;56700;2020-05-21 08:16:48.660
BOKOBA;Inactivo;ATLANTICO;15,25;54900;2020-05-21 08:23:14.233
FERROCARRIL;Activo;MAGDALENA;31,5;85050;2020-05-21 08:33:03.453
MARIA AUXILIADORA;Activo;ATLANTICO;13,25;47700;2020-05-21 08:49:22.510
DELICIAS;Inactivo;MAGDALENA;22;59400;2020-05-21 09:16:28.093
BAVARIA;Inactivo;MAGDALENA;22,25;60075;2020-05-21 09:29:18.760
GRANJA;Activo;BOLIVAR;90;324000;2020-05-21 09:45:24.450
EDS EL RIO;Activo;MAGDALENA;36,25;97875;2020-05-21 09:53:43.627
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;74,75;299000;2020-05-21 09:58:51.720
JARDIN;Activo;MAGDALENA;96,25;259875;2020-05-21 10:11:53.643
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;30;120000;2020-05-21 10:43:32.843
ALTOS PLAN PAREJO;Activo;BOLIVAR;91,75;330300;2020-05-21 10:48:12.700
PLAN PAREJO;Inactivo;BOLIVAR;57,5;207000;2020-05-21 10:55:37.403
TURBACO;Activo;BOLIVAR;38,5;138600;2020-05-21 11:04:37.617
ALMENDROS;Inactivo;MAGDALENA;0;0;2020-05-21 11:15:18.717
CRUZ;Activo;BOLIVAR;104,75;377100;2020-05-21 11:17:54.367
3K;Activo;ATLANTICO;51,75;186300;2020-05-21 11:58:18.033
ARJONA;Activo;BOLIVAR;44;158400;2020-05-21 12:11:07.850
MANZANARES;Activo;MAGDALENA;24,75;66825;2020-05-21 12:21:53.237
RODADERO 2;Inactivo;MAGDALENA;41;110700;2020-05-21 12:50:01.473
GAIRA;Inactivo;MAGDALENA;40,75;110025;2020-05-21 13:24:38.550
DON ROBERTO;Activo;ATLANTICO;45,25;162900;2020-05-21 14:13:16.583
PORVENIR;Activo;ATLANTICO;15,75;56700;2020-05-21 14:22:47.080
ALCAZARES;Inactivo;MAGDALENA;54,5;147150;2020-05-21 14:37:49.257
CURINCA;Inactivo;MAGDALENA;29;78300;2020-05-21 14:41:56.420
DON LEON;Activo;ATLANTICO;28;100800;2020-05-21 14:51:53.290
UNIMAGDALENA;Activo;MAGDALENA;20;54000;2020-05-21 14:55:40.110
CIUDADELA;Activo;MAGDALENA;23,25;62775;2020-05-21 15:06:44.187
PARAISO;Inactivo;ATLANTICO;15,5;55800;2020-05-21 15:13:45.350
PANDO;Inactivo;MAGDALENA;5;13500;2020-05-21 15:15:20.033
CIUDAD DEL SOL;Inactivo;MAGDALENA;16;43200;2020-05-21 15:44:35.413
MIRA CAMPESTRE;Inactivo;MAGDALENA;32;86400;2020-05-21 15:52:47.170
EL REY;Activo;ATLANTICO;53;190800;2020-05-21 16:04:37.703
YUCAL;Activo;MAGDALENA;15;40500;2020-05-21 16:06:42.543
OLAYA;Inactivo;MAGDALENA;10,25;27675;2020-05-21 16:24:57.590
PUERTO COLOMBIA;Activo;ATLANTICO;127,6;459360;2020-05-21 17:07:19.870
CASTELLANA;Inactivo;BOLIVAR;6,5;23400;2020-05-22 06:09:51.430
PESCAITO;Inactivo;MAGDALENA;46;124200;2020-05-22 06:14:11.797
OLAYA;Inactivo;MAGDALENA;1;2700;2020-05-22 06:26:56.610
FERROCARRIL;Activo;MAGDALENA;25;67500;2020-05-22 06:49:51.130
CURINCA;Inactivo;MAGDALENA;9,75;26325;2020-05-22 06:53:11.627
BAVARIA;Inactivo;MAGDALENA;10;27000;2020-05-22 06:55:04.680
CIUDADELA;Activo;MAGDALENA;9,25;24975;2020-05-22 07:05:17.953
ZONA FRANCA CARTAGENA;Activo;BOLIVAR;55;220000;2020-05-22 07:30:57.780
ALCAZARES;Inactivo;MAGDALENA;26,75;72225;2020-05-22 07:33:41.167
PANDO;Inactivo;MAGDALENA;1;2700;2020-05-22 07:35:32.247
EDS EL RIO;Activo;MAGDALENA;49;132300;2020-05-22 07:57:19.963
MIRA CAMPESTRE;Inactivo;MAGDALENA;13;35100;2020-05-22 08:13:05.737
JARDIN;Activo;MAGDALENA;74,5;201150;2020-05-22 08:33:50.210
CIUDAD DEL SOL;Inactivo;MAGDALENA;15;40500;2020-05-22 08:59:23.807
MARIA AUXILIADORA;Activo;ATLANTICO;7,5;27000;2020-05-22 09:26:09.723
DELICIAS;Inactivo;MAGDALENA;51,25;138375;2020-05-22 09:38:40.990
ALMENDROS;Inactivo;MAGDALENA;0;0;2020-05-22 09:46:12.430
MANZANARES;Activo;MAGDALENA;14,75;39825;2020-05-22 09:59:48.997
ZONA FRANCA BARRANQUILLA;Inactivo;ATLANTICO;26;104000;2020-05-22 10:26:12.873
CALLE 30;Inactivo;MAGDALENA;0;0;2020-05-22 10:30:22.613
GALICIA;Activo;MAGDALENA;21,5;58050;2020-05-22 10:31:30.540
3K;Activo;ATLANTICO;50,25;180900;2020-05-22 11:08:44.337
DON LEON;Activo;ATLANTICO;20;72000;2020-05-22 11:26:05.447
PORVENIR;Activo;ATLANTICO;8;28800;2020-05-22 11:56:48.690
DON ROBERTO;Activo;ATLANTICO;33;118800;2020-05-22 12:03:04.023
EL REY;Activo;ATLANTICO;21;75600;2020-05-22 12:21:01.383
PARAISO;Inactivo;ATLANTICO;4,75;17100;2020-05-22 12:28:08.893
PUERTO COLOMBIA;Activo;ATLANTICO;62,4;224640;2020-05-22 13:13:56.743
